terrquadra,endereco,numero,obs
7B,R.NelsonMadureira,
7B,Trav.PedroJoséDosSantos,
7B,R.FaustoFigueiraDeMelo,
7B,R.Dr.CandidoDores,
7C,Trav.PedroJoséDosSantos,
7C,R.FaustoFigueiraDeMelo,
7C,R.MarDeEspanha,
7C,Av.Dr.BernardinoB.F.Carvalho(Gamelinha),
7D,Trav.PedroJoséDosSantos,
7D,R.NelsonMadureira,
7D,R.MarDeEspanha,
7D,R.FaustoFigueiraDeMelo,
7E,R.NelsonMadureira,
7E,R.AlbertoFlores,
7E,R.MarDeEspanha,
7F,R.Palmeirina,
7F,R.FerreiraPeixoto,
7F,R.AlbertoFlores,
7F,R.NelsonMadureira,
7F,R.EmbaixadorDiasCarneiro,
8A,Av.Prof.XavierDeLima,
8A,Trav.PassageParaLeonorDomingues,
8A,R.LeonorDomingues,
8A,R.FerreiraPeixoto,
8B,Av.Prof.XavierDeLima,
8B,Av.Eng.SoaresDeCamargo,
8B,R.LeonorDomingues,
8B,Trav.PassageParaLeonorDomingues,
8C,Av.Eng.SoaresDeCamargo,
8C,R.AltoDoParnaíba,
8C,R.Cel.BatistaDoPrado,
8C,R.LeonorDomingues,
8D,R.LeonorDomingues,
8D,R.Cel.BatistaDoPrado,
8D,R.AltoDoParnaíba,
8D,R.FerreiraPeixoto,
8E,R.LeonorDomingues,
8E,R.FerreiraPeixoto,
8E,R.AltoDoParnaíba,
8E,R.SãoTuríbio,
8F,R.AltoDoParnaíba,
8F,R.FerreiraPeixoto,
8F,R.Palmeirina,
8F,R.SãoTuríbio,
8G,R.AltoDoParnaíba,
8G,R.Cel.BatistaDoPrado,
8G,R.Palmeirina,
8G,R.FerreiraPeixoto,
8H,R.AltoDoParnaíba,
8H,Av.Eng.SoaresDeCamargo,
8H,R.Palmeirina,
8H,R.Cel.BatistaDoPrado,
8I,R.Palmeirina,
8I,Av.Eng.SoaresDeCamargo,
8I,R.AlbertoFlores,
8I,R.FerreiraPeixoto,
9A,Av.Eng.SoaresDeCamargo,
9A,VielaWaldirCalmon,
9A,Trav.CardealGiovaneBenelli,
9B,R.Coroatá,
9B,PraçaPadreLeoMorin,
9B,Trav.CardealGiovaneBenelli,
9B,VielaWaldirCalmon,
9C,PraçaPadreLeoMorin,
9C,R.AltoDoParnaíba,
9C,Av.Eng.SoaresDeCamargo,
9C,Trav.CardealGiovaneBenelli,
9C,VielaWaldirCalmon,
9D,R.Palmeirina,
9D,Av.Eng.SoaresDeCamargo,
9D,R.AltoDoParnaíba,
9D,R.Xique-Xique,
9E,R.AltoDoParnaíba,
9E,R.VitóriaDaConquista,
9E,R.Mirador,
9E,R.Xique-Xique,
9F,R.AltoDoParnaíba,
9F,R.PedrasNegras,
9F,R.Mirador,
9F,R.VitóriaDaConquista,
9G,R.AltoDoParnaíba,
9G,R.Xapuri,
9G,R.Mirador,
9G,R.PedrasNegras,
9H,R.AltoDoParnaíba,
9H,R.VitóriaDaConquista,
9H,Trav.ErnestoMonaci,
9H,R.Xapuri,
9I,R.Xique-Xique,
9I,Trav.AntonioF.DeAssis,
9I,R.VitóriaDaConquista,
9I,R.AltoDoParnaíba,
9J,R.Coroatá,
9J,R.VitóriaDaConquista,
9J,Trav.AntonioF.DeAssis,
9J,R.Xique-Xique,
9K,R.Coroatá,
9K,R.Xapuri,
9K,Trav.ErnestoMonaci,
9K,R.VitóriaDaConquista,
10A,Av.Eng.SoaresDeCamargo,
10A,R.Palmeirina,
10A,R.Xique-Xique,
10A,R.Magé,
10B,R.Mirador,
10B,R.VitóriaDaConquista,
10B,R.Simonésia,
10B,R.Xique-Xique,
10C,R.Mirador,
10C,R.PedrasNegras,
10C,R.Simonésia,
10C,R.VitóriaDaConquista,
10D,R.Mirador,
10D,R.Xapuri,
10D,R.Simonésia,
10D,R.PedrasNegras,
10E,R.Simonésia,
10E,R.Clevelândia,
10E,R.PedrasNegras,
10F,R.Simonésia,
10F,R.PedrasNegras,
10F,R.Araruama,
10F,R.VitóriaDaConquista,
10G,R.Simonésia,
10G,R.VitóriaDaConquista,
10G,R.Magé,
10G,R.Xique-Xique,
11A,R.Catrimani,
11A,R.Mazagão,
